latitude;longitude;Altitude;caida;Temperature_1;Temperature_2;Barometric_Pressure;pitch;rueda;yaw;Accelerometer_X;Accelerometer_Y;Accelerometer_Z
38.540573;-121.746841;21.299999;1;30.770155;30.933081;1010.059461;1.9412;2.7048;-10.1476;0.0468;-0.7878;0.6162
38.540573;-121.746841;21.5;1;30.782018;30.95322;1010.085732;1.932;2.6864;-10.12;0.0624;-0.7644;0.6318
38.540577;-121.746834;21.700001;1;30.793881;30.95322;1010.102057;1.9596;2.6864;-10.212;0.0351;-0.8034;0.6084
38.540577;-121.746834;21.700001;1;30.799813;30.963289;1010.054047;1.9688;2.6772;-10.1476;0.0624;-0.7956;0.6279
38.540573;-121.746834;21.5;1;30.811675;30.963289;1010.093076;1.9688;2.6772;-10.12;0.0663;-0.8073;0.6396
38.540573;-121.746834;21.200001;1;30.823536;30.963289;1010.089059;1.978;2.6772;-10.1568;0.0507;-0.7878;0.6045
38.540569;-121.746841;20.799999;1;30.823536;30.97336;1010.043645;1.9504;2.6864;-10.1384;0.039;-0.78;0.6006
38.540569;-121.746841;19.5;1;30.847256;30.97336;1010.115311;1.9504;2.7048;-10.1476;0.0546;-0.7917;0.624
38.540569;-121.746841;19.5;1;30.853186;30.9935;1010.076037;1.9964;2.6956;-10.2028;0.0546;-0.7761;0.6162
38.540569;-121.746841;19.299999;1;30.853186;31.003571;1010.079822;1.9872;2.6588;-10.1752;0.0468;-0.7839;0.5967
38.540573;-121.746841;19.4;1;30.865045;31.003571;1010.063253;1.9596;2.7048;-10.1016;0.0624;-0.7878;0.624
38.540573;-121.746841;19.299999;1;30.88876;31.02371;1010.041719;1.978;2.6496;-10.1108;0.0507;-0.7839;0.6201
38.540573;-121.746841;19.4;1;30.870974;31.02371;1010.068213;1.9872;2.6864;-10.12;0.0468;-0.8112;0.6279
38.540573;-121.746834;19.200001;1;30.88876;31.02371;1010.033885;1.978;2.6956;-10.166;0.0546;-0.8034;0.5967
38.540577;-121.746826;19.4;1;30.906545;31.033779;1010.086606;1.9596;2.6588;-10.1384;0.0507;-0.7683;0.585
38.540577;-121.746826;19.799999;1;30.906545;31.033779;1010.056325;1.9504;2.6128;-10.1292;0.0585;-0.7956;0.6123
38.540577;-121.746826;19.299999;1;30.918401;31.033779;1010.096516;1.9044;2.668;-10.12;0.0468;-0.7722;0.6045
38.540573;-121.746834;19;1;30.918401;31.033779;1010.066234;1.9136;2.6864;-10.1568;0.0234;-0.819;0.5967
38.540573;-121.746834;19;1;30.94211;31.04385;1010.074686;1.9872;2.6772;-10.1384;0.0585;-0.7995;0.6279
38.540569;-121.746834;16.9;1;30.948037;31.06399;1010.064494;1.9412;2.6496;-10.1568;0.0546;-0.7839;0.5811
38.540569;-121.746834;15.8;1;30.948037;31.06399;1010.083422;1.9872;2.6956;-10.1844;0.0429;-0.7761;0.624
38.540565;-121.746841;15.5;1;30.977669;31.06399;1010.10059;1.978;2.622;-10.166;0.0468;-0.7683;0.6006
38.540565;-121.746841;14.7;1;30.977669;31.07406;1010.058947;1.9688;2.6956;-10.1108;0.0624;-0.7839;0.6201
38.540562;-121.746841;14;1;30.989521;31.0942;1010.121838;1.9688;2.6772;-10.0924;0.0507;-0.7839;0.6279
